信息_链接,岗位名称,薪水,技能关键词,标签,工作经验,学历要求,工作地点,公司名称,公司信息,公司标签,其它信息,最低薪资,最高薪资,薪资单位,年薪月数,平均月薪,公司类型,公司规模,所属行业,城市,区域
http://www.zhaopin.com/jobdetail/CC000544460J40813263516.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,大数据开发工程师,8000-14000元,Spark Flink Hadoop Java Scala 数据库开发 大数据 离线 数据仓库,Spark,1-3年,本科,西安·雁塔·漳浒寨,软通动力信息技术(集团)股份有限公司,上市公司 10000人以上 软件/IT服务,季梦倩·招聘经理,今日回复2次,8000.0,14000.0,元,12.0,11000.0,上市公司,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CCL1483793840J40768588801.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,python讲师,1-1.5万,Python 授课老师 线下教育,Python,经验不限,本科,西安·新城·韩森寨,西安市新城区青鸟职业技能培训学校有限公司,民营 20-99人 学校/学历教育,赵娜·人事经理,今日回复2次,10000.0,15000.0,万,12.0,12500.0,民营,20-99人,学校/学历教育,西安,新城
http://www.zhaopin.com/jobdetail/CCL1480117890J40704710705.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万·14薪,C# Java Python MySQL,C#,经验不限,本科,西安·雁塔·漳浒寨,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,陈女士·招聘经理,高回复率,15000.0,30000.0,万,14.0,22500.0,合资,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CC000544460J40723433416.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,大数据开发工程师,9000-13000元,Hadoop 数据库开发,Hadoop,3-5年,本科,西安·雁塔·漳浒寨,软通动力信息技术(集团)股份有限公司,上市公司 10000人以上 软件/IT服务,康莹·人事经理,3小时内回复可能性大,9000.0,13000.0,元,12.0,11000.0,上市公司,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CC196642520J40949152502.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,机载软件开发工程师,8000-13000元,Python,Python,1-3年,本科,西安·雁塔·丈八沟,陕西省通信服务有限公司中天信息分公司,其它 1000-9999人 软件/IT服务,邹艳玲·BOSS/主管/员工,12小时内回复可能性大,8000.0,13000.0,元,12.0,10500.0,其它,1000-9999人,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CCL1480117890J40599611105.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,C/C++/Java/Python/GO/算法/web前端开发,1-2万·14薪,双休 周六上班双倍工资 试用期薪资全额发,双休,经验不限,本科,西安·雁塔·漳浒寨,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,张薇·招聘经理,1小时内回复可能性大,10000.0,20000.0,万,14.0,15000.0,合资,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CC000544460J40424494316.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,大数据开发工程师,8000-12000元·13薪,实时数仓 数仓开发,实时数仓,1-3年,本科,西安·雁塔·漳浒寨,软通动力信息技术(集团)股份有限公司,上市公司 10000人以上 软件/IT服务,苏女士·高级招聘顾问,6小时内回复可能性大,8000.0,12000.0,元,13.0,10000.0,上市公司,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CCL1480117890J40839945105.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,通用软件开发（Java/Python/JS/GO/C/C++）,1.5-2.5万·14薪,C语言 Java Python,C语言,1-3年,本科,西安·雁塔·漳浒寨,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,王金辉·招聘专员,1小时内回复可能性大,15000.0,25000.0,万,14.0,20000.0,合资,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CC365215630J40934767415.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,数据开发工程师,1.3-1.5万,Spark Python flume hive,Spark,3-5年,本科,西安·未央·大明宫,新疆北斗同创信息科技有限公司,民营 300-499人 通信/网络设备,马凡淅·人力资源经理,5日内活跃,13000.0,15000.0,万,12.0,14000.0,民营,300-499人,通信/网络设备,西安,未央
http://www.zhaopin.com/jobdetail/CC554329230J40850015609.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,python项目入驻西安 月入一万五班主任,1.2-2.2万,在线教育 培训机构,在线教育,1年以下,大专,西安·雁塔·丈八沟,核桃编程,民营 1000-9999人 课外培训与资格考试,李女士·HRBP主管,7日内活跃,12000.0,22000.0,万,12.0,17000.0,民营,1000-9999人,课外培训与资格考试,西安,雁塔
http://www.zhaopin.com/jobdetail/CCL1480117890J40831605905.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,Java/C/C++/Python/js前端等,1.8-3.5万·14薪,JavaScript C++ Python,JavaScript,经验不限,学历不限,西安·雁塔·漳浒寨,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,刘文雅·HR招聘经理,高回复率,18000.0,35000.0,万,14.0,26500.0,合资,10000人以上,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CC840683300J40841632911.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,Python应用运维（devops）,7000-8000元,MySQL DEVOPS,MySQL,1-3年,本科,西安·雁塔·漳浒寨,联想教育科技(北京)有限公司,民营 100-299人 课外培训与资格考试,叶女士·招聘主管,昨日活跃,7000.0,8000.0,元,12.0,7500.0,民营,100-299人,课外培训与资格考试,西安,雁塔
